keys,en,it,es,pt_BR,fr,nl,ar,ru,de,zh
MENU_HP, H P, P V, P V, P V, P V, G P,نقاط الصحة,ОЗ,L P,体力
MENU_MP,M P,P M,P M,P M,P M,M P,نقاط المانا,ОМ,M P,魔力
MENU_SP,S P,P S,P S,P S,P S,S P,,ОС,E P,精神力
MENU_HEARTS,Hearts,Cuori,Corazones,Corações,Coeurs,Harten,القلوب,Сердца,Herzen,心数
HP_STAT,HP,PV,PV,PV,PV,GP,,ОЗ,LP,体力
MP_STAT,MP,PM,PM,PM,PM,MP,,ОМ,MP,魔力
SP_STAT,SP,PS,PS,PS,PS,SP,,ОС,EP,精神力
MENU_LV,LV,LV,NV,NV,NV,NV,,УР,LVL,等级
MENU_LEVEL,Level,Livello,Nível,Nível,Niveau,Niveau,,Уровень,Level,等级
MENU_GOLD,Gold,Oro,Oro,Ouro,Or,Gold,النقود,Золото,Gold,金币
MENU_TIME,Time,Ore,Tiempo,Tempo,Temps,Tijd,الوقت,Время,Zeit,时间
MENU_EXP,Experience,Esperienza,Experiencia,Experiência,Expérience,Ervaring,نقاط الخبرة,Опыт,Erfahrung,经验值
MENU_NEXT,Next,Prossimo Liv.,Próximo nív.,Próximo NV,Prochain,Volgende,,Сл. уровень,Weiter,下一等级
MENU_MAP_RATIO,Map,Mappa,Mapa,Mapa,Carte,Kaart,,Карта,Karte,地图
ATK_STAT_FULL,Attack,Attacco,Ataque,Ataque,Attaque,Aanval,,Атака,Angriff,总攻击力
DEF_STAT_FULL,Defense,Difesa,Defensa,Defesa,Défense,Verdediging,,Защита,Verteidigung,总防御力
STR_STAT_FULL,Strength,Forza,Fuerza,Força,Force,Kracht,,Сила,Stärke,基础攻击力
CON_STAT_FULL,Constitution,Fisico,Constitución,Constituição,Constitution,Constitutie,,Выносливость,,物理抗性
INT_STAT_FULL,Intelligence,Intelligenza,Inteligencia,Inteligência,Intelligence,Intelligentie,,Интеллект,Intelligenz,智力
MND_STAT_FULL,Mind,Mente,Mente,Mente,Esprit,Inzicht,,Разум,,魔法抗性
SYN_STAT_FULL,Synergy,Sinergia,Sinergía,Sinergia,Synergie,Samenwerking,,Синергия,,同调值
LCK_STAT_FULL,Luck,Fortuna,Suerte,Sorte,Chance,Geluk,,Удача,Glück,幸运值
SUMMON_BUTTON,Summon,Evoca,Convocar,Invocar,Invoquer,Oproeping,,Призыв,Beschwören,召唤
ITEMS_BUTTON,Items,Oggetti,Objetos,Itens,Objets,Voorwerpen,,Предметы,Gegenstände,消耗道具
EQUIP_BUTTON,Equip,Equipaggia,Equipamiento,Equipar,Combiner,Aandoen,,Снаряжение,Ausrüsten,装备道具
COMBINE_BUTTON,Combine,Combina,Combinar,Combinar,Équiper,Combineren,,Комбинирование,Kombinieren,炼金合成
BESTIARY_BUTTON,Bestiary,Bestiario,Bestiario,Bestiário,,Bestiarum,,Бестиарий,Bestiarium,怪物图鉴
SKILLS_BUTTON,Skills,Abilità,Habilidades,Habilidades,Talents,Vaardigheden,,Навыки,Skills,技能
OPTIONS_BUTTON,Options,Opzioni,Opciones,Opções,Options,Opties,,Опции,Optionen,系统设定
HINTS_BUTTON,Hints,Consigli,Pistas,Dicas,Indices,Hints,,Подсказки,Hinweis,冒险提示
INNOCENT_DEVIL_LABEL,Innocent Devil [[R1]],Diavolo Innocente [[R1]],Demonio inocente [[R1]],Demônio Inocente [[R1]],Démon innocent [[R1]],Onschuldige Duivel [[R1]],,Непорочный Демон [[R1]],,使魔 [[R1]]
ATK_STAT,ATK,ATT,ATA,ATQ,ATQ,AVL,,АТК,ATK,总攻击力
DEF_STAT,DEF,DIF,DEF,DEF,DEF,VDG,,ЗАЩ,DEF,总防御力
STR_STAT,STR,FRZ,FUE,FOR,FOR,KRC,,СИЛ,,基础攻击力
CON_STAT,CON,FIS,CON,CON,CST,CON,,ВЫН,,物理抗性
INT_STAT,INT,INT,INT,INT,INT,INT,,ИНТ,,智力
SYN_STAT,SYN,SIN,SIN,SIN,SYN,SWK,,СИН,,同调值
MND_STAT,MND,MEN,MEN,MNT,ESP,INZ,,РАЗ,,魔法抗性
LCK_STAT,LCK,FOR,SUE,SOR,CHA,GLK,,УДЧ,GLK,幸运值
WEAPON_EQUIP_LABEL,Wpn,Arma,Arma,Arma,Arme,Wpn,,Оруж.,,武器
ARTIFACT_EQUIP_LABEL,Art.,Art.,Art.,Art.,Art.,Art.,,Арт.,Art.,遗物
